bengali_date,gregorian_Date
"22 , Bhadro (Bhadra) 1387",07/09/1980
"23 , Bhadro (Bhadra) 1387",08/09/1980
"24 , Bhadro (Bhadra) 1387",09/09/1980
"25 , Bhadro (Bhadra) 1387",10/09/1980
"26 , Bhadro (Bhadra) 1387",11/09/1980
"27 , Bhadro (Bhadra) 1387",12/09/1980
"28 , Bhadro (Bhadra) 1387",13/09/1980
"29 , Bhadro (Bhadra) 1387",14/09/1980
"30 , Bhadro (Bhadra) 1387",15/09/1980
"31 , Bhadro (Bhadra) 1387",16/09/1980
"1 , Ashshin (Aashin) 1387",17/09/1980
"2 , Ashshin (Aashin) 1387",18/09/1980
"3 , Ashshin (Aashin) 1387",19/09/1980
"4 , Ashshin (Aashin) 1387",20/09/1980
"5 , Ashshin (Aashin) 1387",21/09/1980
"6 , Ashshin (Aashin) 1387",22/09/1980
"7 , Ashshin (Aashin) 1387",23/09/1980
"8 , Ashshin (Aashin) 1387",24/09/1980
"9 , Ashshin (Aashin) 1387",25/09/1980
"10 , Ashshin (Aashin) 1387",26/09/1980
"11 , Ashshin (Aashin) 1387",27/09/1980
"12 , Ashshin (Aashin) 1387",28/09/1980
"13 , Ashshin (Aashin) 1387",29/09/1980
"14 , Ashshin (Aashin) 1387",30/09/1980
"15 , Ashshin (Aashin) 1387",01/10/1980
"16 , Ashshin (Aashin) 1387",02/10/1980
"17 , Ashshin (Aashin) 1387",03/10/1980
"18 , Ashshin (Aashin) 1387",04/10/1980
"19 , Ashshin (Aashin) 1387",05/10/1980
"20 , Ashshin (Aashin) 1387",06/10/1980
"21 , Ashshin (Aashin) 1387",07/10/1980
"22 , Ashshin (Aashin) 1387",08/10/1980
"23 , Ashshin (Aashin) 1387",09/10/1980
"24 , Ashshin (Aashin) 1387",10/10/1980
"25 , Ashshin (Aashin) 1387",11/10/1980
"26 , Ashshin (Aashin) 1387",12/10/1980
"27 , Ashshin (Aashin) 1387",13/10/1980
"28 , Ashshin (Aashin) 1387",14/10/1980
"29 , Ashshin (Aashin) 1387",15/10/1980
"30 , Ashshin (Aashin) 1387",16/10/1980
"31 , Ashshin (Aashin) 1387",17/10/1980
"1 , Kartik 1387",18/10/1980
"2 , Kartik 1387",19/10/1980
"3 , Kartik 1387",20/10/1980
"4 , Kartik 1387",21/10/1980
"5 , Kartik 1387",22/10/1980
"6 , Kartik 1387",23/10/1980
"7 , Kartik 1387",24/10/1980
"8 , Kartik 1387",25/10/1980
"9 , Kartik 1387",26/10/1980
"10 , Kartik 1387",27/10/1980
"11 , Kartik 1387",28/10/1980
"12 , Kartik 1387",29/10/1980
"13 , Kartik 1387",30/10/1980
"14 , Kartik 1387",31/10/1980
"15 , Kartik 1387",01/11/1980
"16 , Kartik 1387",02/11/1980
"17 , Kartik 1387",03/11/1980
"18 , Kartik 1387",04/11/1980
"19 , Kartik 1387",05/11/1980
"20 , Kartik 1387",06/11/1980
"21 , Kartik 1387",07/11/1980
"22 , Kartik 1387",08/11/1980
"23 , Kartik 1387",09/11/1980
"24 , Kartik 1387",10/11/1980
"25 , Kartik 1387",11/11/1980
"26 , Kartik 1387",12/11/1980
"27 , Kartik 1387",13/11/1980
"28 , Kartik 1387",14/11/1980
"29 , Kartik 1387",15/11/1980
"30 , Kartik 1387",16/11/1980
"1 , Ogrohaeon (Agrahan) 1387",17/11/1980
"2 , Ogrohaeon (Agrahan) 1387",18/11/1980
"3 , Ogrohaeon (Agrahan) 1387",19/11/1980
"4 , Ogrohaeon (Agrahan) 1387",20/11/1980
"5 , Ogrohaeon (Agrahan) 1387",21/11/1980
"6 , Ogrohaeon (Agrahan) 1387",22/11/1980
"7 , Ogrohaeon (Agrahan) 1387",23/11/1980
"8 , Ogrohaeon (Agrahan) 1387",24/11/1980
"9 , Ogrohaeon (Agrahan) 1387",25/11/1980
"10 , Ogrohaeon (Agrahan) 1387",26/11/1980
"11 , Ogrohaeon (Agrahan) 1387",27/11/1980
"12 , Ogrohaeon (Agrahan) 1387",28/11/1980
"13 , Ogrohaeon (Agrahan) 1387",29/11/1980
"14 , Ogrohaeon (Agrahan) 1387",30/11/1980
"15 , Ogrohaeon (Agrahan) 1387",01/12/1980
