gujarati_date,gregorian_date
16 Jyeshta 2037,"Jun 18, 1981"
17 Jyeshta 2037,"Jun 19, 1981"
18 Jyeshta 2037,"Jun 20, 1981"
19 Jyeshta 2037,"Jun 21, 1981"
20 Jyeshta 2037,"Jun 22, 1981"
21 Jyeshta 2037,"Jun 23, 1981"
22 Jyeshta 2037,"Jun 24, 1981"
23 Jyeshta 2037,"Jun 25, 1981"
24 Jyeshta 2037,"Jun 26, 1981"
25 Jyeshta 2037,"Jun 27, 1981"
26 Jyeshta 2037,"Jun 28, 1981"
27 Jyeshta 2037,"Jun 29, 1981"
28 Jyeshta 2037,"Jun 30, 1981"
29 Jyeshta 2037,"Jul 01, 1981"
1 Ashadha 2037,"Jul 02, 1981"
2 Ashadha 2037,"Jul 03, 1981"
3 Ashadha 2037,"Jul 04, 1981"
4 Ashadha 2037,"Jul 05, 1981"
5 Ashadha 2037,"Jul 06, 1981"
6 Ashadha 2037,"Jul 07, 1981"
7 Ashadha 2037,"Jul 08, 1981"
8 Ashadha 2037,"Jul 09, 1981"
9 Ashadha 2037,"Jul 10, 1981"
10 Ashadha 2037,"Jul 11, 1981"
11 Ashadha 2037,"Jul 12, 1981"
12 Ashadha 2037,"Jul 13, 1981"
13 Ashadha 2037,"Jul 14, 1981"
14 Ashadha 2037,"Jul 15, 1981"
15 Ashadha 2037,"Jul 16, 1981"
16 Ashadha 2037,"Jul 17, 1981"
17 Ashadha 2037,"Jul 18, 1981"
18 Ashadha 2037,"Jul 19, 1981"
19 Ashadha 2037,"Jul 20, 1981"
20 Ashadha 2037,"Jul 21, 1981"
21 Ashadha 2037,"Jul 22, 1981"
22 Ashadha 2037,"Jul 23, 1981"
23 Ashadha 2037,"Jul 24, 1981"
24 Ashadha 2037,"Jul 25, 1981"
25 Ashadha 2037,"Jul 26, 1981"
26 Ashadha 2037,"Jul 27, 1981"
27 Ashadha 2037,"Jul 28, 1981"
28 Ashadha 2037,"Jul 29, 1981"
29 Ashadha 2037,"Jul 30, 1981"
30 Ashadha 2037,"Jul 31, 1981"
1 Shravana 2037,"Aug 01, 1981"
2 Shravana 2037,"Aug 02, 1981"
3 Shravana 2037,"Aug 03, 1981"
4 Shravana 2037,"Aug 04, 1981"
5 Shravana 2037,"Aug 05, 1981"
6 Shravana 2037,"Aug 06, 1981"
7 Shravana 2037,"Aug 07, 1981"
8 Shravana 2037,"Aug 08, 1981"
9 Shravana 2037,"Aug 09, 1981"
10 Shravana 2037,"Aug 10, 1981"
11 Shravana 2037,"Aug 11, 1981"
12 Shravana 2037,"Aug 12, 1981"
13 Shravana 2037,"Aug 13, 1981"
14 Shravana 2037,"Aug 14, 1981"
15 Shravana 2037,"Aug 15, 1981"
16 Shravana 2037,"Aug 16, 1981"
17 Shravana 2037,"Aug 17, 1981"
18 Shravana 2037,"Aug 18, 1981"
19 Shravana 2037,"Aug 19, 1981"
20 Shravana 2037,"Aug 20, 1981"
21 Shravana 2037,"Aug 21, 1981"
22 Shravana 2037,"Aug 22, 1981"
23 Shravana 2037,"Aug 23, 1981"
24 Shravana 2037,"Aug 24, 1981"
25 Shravana 2037,"Aug 25, 1981"
26 Shravana 2037,"Aug 26, 1981"
27 Shravana 2037,"Aug 27, 1981"
28 Shravana 2037,"Aug 28, 1981"
29 Shravana 2037,"Aug 29, 1981"
1 Bhadarvo 2037,"Aug 30, 1981"
2 Bhadarvo 2037,"Aug 31, 1981"
3 Bhadarvo 2037,"Sep 01, 1981"
4 Bhadarvo 2037,"Sep 02, 1981"
5 Bhadarvo 2037,"Sep 03, 1981"
6 Bhadarvo 2037,"Sep 04, 1981"
7 Bhadarvo 2037,"Sep 05, 1981"
8 Bhadarvo 2037,"Sep 06, 1981"
9 Bhadarvo 2037,"Sep 07, 1981"
10 Bhadarvo 2037,"Sep 08, 1981"
11 Bhadarvo 2037,"Sep 09, 1981"
12 Bhadarvo 2037,"Sep 10, 1981"
13 Bhadarvo 2037,"Sep 11, 1981"
14 Bhadarvo 2037,"Sep 12, 1981"
15 Bhadarvo 2037,"Sep 13, 1981"
16 Bhadarvo 2037,"Sep 14, 1981"
17 Bhadarvo 2037,"Sep 15, 1981"
18 Bhadarvo 2037,"Sep 16, 1981"
